# WidgetBridge native JS API manifest.
# Columns: name<TAB>category<TAB>kind<TAB>source
# category must be one of the allowlist in test_widget_bridge_api_contracts.cpp.
name	category	kind	source
__pulpRuntimeImport__	runtime_import	function	core/view/src/widget_bridge/runtime_import_api.cpp
__pulpRuntimeSettle__	runtime_import	function	core/view/src/widget_bridge/runtime_import_api.cpp
createKnob	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createFader	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createToggle	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createRangeSlider	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createIcon	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createImage	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
setImageSource	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setKnobSpriteStrip	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setKnobSpriteCore	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setFaderSkin	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setFaderTrackWidth	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setFaderTrackBorder	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setMeterColors	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
setMeterBarRatio	widget_assets	function	core/view/src/widget_bridge/widget_assets_api.cpp
createCheckbox	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createToggleButton	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
createLabel	widget_factory	function	core/view/src/widget_bridge/factory_api.cpp
setValue	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
getValue	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
setMin	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
setMax	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
setStep	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
setOrientation	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
setAccentColor	widget_value	function	core/view/src/widget_bridge/widget_value_controls_api.cpp
getParam	state_binding	function	core/view/src/widget_bridge/state_binding_api.cpp
setParam	state_binding	function	core/view/src/widget_bridge/state_binding_api.cpp
animate	animation	function	core/view/src/widget_bridge/animation_api.cpp
setMotionToken	tokens	function	core/view/src/widget_bridge/tokens_api.cpp
getMotionToken	tokens	function	core/view/src/widget_bridge/tokens_api.cpp
setStringToken	tokens	function	core/view/src/widget_bridge/tokens_api.cpp
getStringToken	tokens	function	core/view/src/widget_bridge/tokens_api.cpp
setVisible	css_style	function	core/view/src/widget_bridge.cpp
setAccessibilityLabel	accessibility	function	core/view/src/widget_bridge/accessibility_api.cpp
setAccessibilityRole	accessibility	function	core/view/src/widget_bridge/accessibility_api.cpp
setAccessibilityState	accessibility	function	core/view/src/widget_bridge/accessibility_api.cpp
registerHover	events	function	core/view/src/widget_bridge.cpp
createGrid	layout	function	core/view/src/widget_bridge/layout_api.cpp
